Title,Release Year,IMDB Rating,Rotten Tomatometer,Rotten Tomato Audience Score
The Godfather,1972,9.2/10,97%,98%
The Godfather Part II,1974,9.0/10,96%,97%
Schindler's List,1993,9.0/10,98%,97%
The Lord of the Rings: The Return of the King,2003,9.0/10,94%,86%
Forrest Gump,1994,8.8/10,76%,95%
One Flew Over the Cuckoo's Nest,1975,8.7/10,93%,96%
The Silence of the Lambs,1991,8.6/10,95%,95%
Casablanca,1943,8.5/10,99%,95%
The Departed,2006,8.5/10,91%,94%
Parasite,2019,8.5/10,99%,90%
Gladiator,2000,8.5/10,79%,87%
Amadeus,1984,8.4/10,89%,95%
Oppenheimer,2023,8.4/10,93%,91%
The Sting,1973,8.3/10,93%,95%
The Apartment,1960,8.3/10,94%,94%
Lawrence of Arabia,1962,8.3/10,94%,93%
American Beauty,1999,8.3/10,87%,93%
Braveheart,1995,8.3/10,76%,85%
All About Eve,1950,8.2/10,99%,94%
Unforgiven,1992,8.2/10,96%,93%
A Beautiful Mind,2001,8.2/10,74%,93%
Gone with the Wind,1939,8.2/10,90%,92%
Green Book,2018,8.2/10,77%,91%
No Country for Old Men,2007,8.2/10,93%,86%
On the Waterfront,1954,8.1/10,99%,95%
It Happened One Night,1934,8.1/10,98%,93%
The Best Years of Our Lives,1946,8.1/10,97%,93%
The Bridge on the River Kwai,1957,8.1/10,96%,93%
Platoon,1986,8.1/10,89%,93%
Spotlight,2015,8.1/10,97%,93%
Rebecca,1940,8.1/10,98%,92%
The Deer Hunter,1978,8.1/10,86%,91%
Million Dollar Baby,2004,8.1/10,90%,90%
12 Years a Slave,2013,8.1/10,95%,90%
All Quiet on the Western Front,1930,8.1/10,98%,89%
Ben-Hur,1959,8.1/10,85%,89%
Rocky,1976,8.1/10,92%,69%
The Sound of Music,1965,8.1/0,83%,91%
Annie Hall,1977,8.0/10,97%,92%
Gandhi,1982,8.0/10,89%,92%
The King's Speech,2010,8.0/10,94%,92%
CODA,2021,8.0/10,94%,91%
Rain Man,1988,8.0/10,88%,90%
Slumdog Millionaire,2008,8.0/10,91%,90%
Dances with Wolves,1990,8.0/10,87%,87%
Patton,1970,7.9/10,91%,93%
In the Heat of the Night,1967,7.9/10,96%,92%
The Lost Weekend,1945,7.9/10,97%,90%
The Artist,2011,7.9/10,95%,87%
Titanic,1997,7.9/10,88%,69%
Kramer vs. Kramer,1979,7.8/10,89%,89%
You Can't Take It with You,1938,7.8/10,94%,88%
Midnight Cowboy,1969,7.8/10,89%,88%
Everything Everywhere All at Once,2022,7.8/10,94%,86%
My Fair Lady,1964,7.7/10,95%,90%
Argo,2012,7.7/10,96%,90%
Ordinary People,1980,7.7/10,89%,88%
The Last Emperor,1987,7.7/10,86%,88%
Marty,1955,7.7/10,96%,87%
A Man for All Seasons,1966,7.7/10,89%,87%
The French Connection,1971,7.7/10,96%,87%
How Green Was My Valley,1941,7.7/10,93%,81%
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7/10,91%,78%
Crash,2005,7.7/1,74%,88%
Mutiny on the Bounty,1935,7.6/10,96%,84%
Mrs. Miniver,1942,7.6/10,94%,84%
From Here to Eternity,1953,7.6/10,88%,84%
West Side Story,1961,7.6/10,91%,84%
Hamlet,1948,7.6/10,96%,80%
The Hurt Locker,2009,7.5/10,97%,84%
Wings,1927,7.5/10,94%,79%
Terms of Endearment,1983,7.4/10,82%,83%
The English Patient,1996,7.4/10,86%,83%
Oliver!,1968,7.4/10,90%,81%
All the King's Men,1949,7.4/10,97%,79%
Moonlight,2016,7.4/10,98%,79%
Nomadland,2020,7.3/10,93%,82%
Driving Miss Daisy,1989,7.3/10,85%,81%
Grand Hotel,1932,7.3/10,87%,77%
The Shape of Water,2017,7.3/10,92%,72%
Chicago,2002,7.2/10,86%,83%
An American in Paris,1951,7.2/10,95%,79%
Gentleman's Agreement,1947,7.2/10,82%,78%
The Life of Emile Zola,1937,7.2/10,92%,74%
Out of Africa,1985,7.1/10,63%,82%
Chariots of Fire,1981,7.1/10,83%,80%
Shakespeare in Love,1998,7.1/10,92%,80%
Going My Way,1944,7.0/10,83%,74%
Around the World in 80 Days,1956,6.7/10,72%,57%
Gigi,1958,6.6/10,88%,74%
The Great Ziegfeld,1936,6.6/10,71%,50%
The Greatest Show on Earth,1952,6.5/10,50%,53%
Tom Jones,1963,6.4/10,81%,58%
Cavalcade,1933,5.8/10,66%,27%
Cimarron,1931,5.8/10,50%,25%
The Broadway Melody,1929,5.6/10,40%,20%
